iter	Passed	Remaining
595	1452	984
596	1453	981
597	1454	977
598	1455	974
599	1456	971
600	1457	967
601	1458	964
602	1458	960
603	1461	957
604	1462	954
605	1462	951
606	1463	947
607	1464	944
608	1465	940
609	1466	937
610	1466	933
611	1467	930
612	1468	927
613	1469	923
614	1470	920
615	1471	917
616	1471	913
617	1476	912
618	1476	909
619	1478	905
620	1478	902
621	1479	899
622	1480	895
623	1481	892
624	1482	889
625	1482	885
626	1483	882
627	1484	879
628	1485	876
629	1486	872
630	1487	869
631	1490	868
632	1492	865
633	1493	862
634	1494	859
635	1496	856
636	1497	853
637	1497	849
638	1498	846
639	1499	843
640	1500	840
641	1500	836
642	1501	833
643	1502	830
644	1505	828
645	1506	825
646	1506	822
647	1507	818
648	1508	815
649	1509	812
650	1509	809
651	1510	806
652	1511	802
653	1511	799
654	1512	796
655	1513	793
656	1514	790
657	1514	787
658	1515	784
659	1516	781
660	1516	777
661	1517	774
662	1520	772
663	1521	769
664	1521	766
665	1522	763
666	1524	761
667	1525	758
668	1526	755
669	1526	751
670	1527	748
671	1528	745
672	1529	742
673	1529	739
674	1531	737
675	1532	734
676	1533	731
677	1534	728
678	1534	725
679	1535	722
680	1536	719
681	1537	716
682	1538	713
683	1538	710
684	1539	707
685	1540	704
686	1540	702
687	1541	699
688	1542	696
689	1542	693
690	1543	690
691	1545	687
692	1546	685
693	1547	682
694	1548	679
695	1549	676
696	1550	673
697	1550	671
698	1551	668
699	1552	665
700	1552	662
701	1553	659
702	1554	656
703	1554	653
704	1555	650
705	1556	648
706	1556	645
707	1557	642
708	1558	639
709	1559	637
710	1561	634
711	1562	632
712	1563	629
713	1564	626
714	1565	624
715	1566	621
716	1567	618
717	1567	615
718	1568	613
719	1569	610
720	1569	607
721	1570	604
722	1571	602
723	1572	599
724	1573	596
725	1576	594
726	1576	592
727	1577	589
728	1578	586
729	1579	584
730	1580	581
731	1580	578
732	1581	576
733	1582	573
734	1583	570
735	1583	568
736	1584	565
737	1585	562
738	1585	560
739	1586	557
740	1587	554
741	1587	552
742	1588	549
743	1590	547
744	1591	544
745	1591	541
746	1592	539
747	1593	536
748	1593	534
749	1594	531
750	1595	528
751	1595	526
752	1596	523
753	1596	521
754	1597	518
755	1598	515
756	1598	513
757	1599	510
758	1600	508
759	1600	505
760	1601	502
761	1602	500
762	1603	498
763	1606	496
764	1606	493
765	1607	491
766	1608	488
767	1608	486
768	1609	483
769	1610	480
770	1610	478
771	1611	475
772	1612	473
773	1612	470
774	1613	468
775	1614	465
776	1614	463
777	1615	460
778	1616	458
779	1616	456
780	1617	453
781	1618	451
782	1621	449
783	1622	447
784	1623	444
785	1623	442
786	1624	439
787	1625	437
788	1625	434
789	1626	432
790	1626	429
791	1627	427
792	1628	424
793	1628	422
794	1629	420
795	1630	417
796	1630	415
797	1631	412
798	1632	410
799	1633	408
800	1635	406
801	1636	404
802	1637	401
803	1637	399
804	1638	396
805	1639	394
806	1639	392
807	1640	389
808	1641	387
809	1641	385
810	1642	382
811	1642	380
812	1643	378
813	1644	375
814	1644	373
815	1645	371
816	1645	368
817	1646	366
818	1647	364
819	1647	361
820	1648	359
821	1651	357
822	1651	355
823	1652	352
824	1652	350
825	1653	348
826	1654	346
827	1654	343
828	1655	341
829	1655	339
830	1656	336
831	1656	334
832	1657	332
833	1658	330
834	1658	327
835	1659	325
836	1660	323
837	1660	321
838	1661	318
839	1662	316
840	1662	314
841	1664	312
842	1666	310
843	1667	308
844	1668	306
845	1669	303
846	1670	301
847	1670	299
848	1671	297
849	1672	295
850	1673	292
851	1674	290
852	1675	288
853	1675	286
854	1676	284
855	1677	282
856	1677	279
857	1678	277
858	1680	275
859	1681	273
860	1681	271
861	1682	269
862	1683	267
863	1684	265
864	1684	262
865	1685	260
866	1686	258
867	1686	256
868	1687	254
869	1687	252
870	1688	250
871	1689	247
872	1690	245
873	1690	243
874	1691	241
875	1691	239
876	1692	237
877	1693	235
878	1696	233
879	1697	231
880	1698	229
881	1698	227
882	1699	225
883	1700	223
884	1701	221
885	1702	219
886	1703	217
887	1704	214
888	1704	212
889	1705	210
890	1706	208
891	1707	206
892	1708	204
893	1711	202
894	1712	200
895	1713	198
896	1714	196
897	1715	194
898	1716	192
899	1716	190
900	1717	188
901	1718	186
902	1718	184
903	1719	182
904	1720	180
905	1721	178
906	1722	176
907	1723	174
908	1728	173
909	1728	170
910	1729	168
911	1730	166
912	1731	164
913	1732	162
914	1733	161
915	1733	159
916	1734	156
917	1735	154
918	1735	152
919	1736	150
920	1737	148
921	1737	146
922	1738	145
923	1739	143
924	1740	141
925	1740	139
926	1741	137
927	1742	135
928	1743	133
929	1744	131
930	1745	129
931	1745	127
932	1746	125
933	1746	123
934	1747	121
935	1748	119
936	1749	117
937	1749	115
938	1750	113
939	1751	111
940	1752	109
941	1754	108
942	1756	106
943	1757	104
944	1758	102
945	1760	100
946	1760	98
947	1761	96
948	1762	94
949	1763	92
950	1764	90
951	1765	89
952	1766	87
953	1767	85
954	1768	83
955	1768	81
956	1769	79
957	1770	77
958	1771	75
959	1771	73
960	1772	71
961	1773	70
962	1773	68
963	1774	66
964	1775	64
965	1775	62
966	1776	60
967	1776	58
968	1777	56
969	1778	54
970	1780	53
971	1782	51
972	1783	49
973	1784	47
974	1784	45
975	1785	43
976	1786	42
977	1787	40
978	1788	38
979	1789	36
980	1789	34
981	1790	32
982	1791	30
983	1792	29
984	1793	27
985	1796	25
986	1797	23
987	1798	21
988	1799	20
989	1800	18
990	1801	16
991	1802	14
992	1805	12
993	1806	10
994	1813	9
995	1814	7
996	1816	5
997	1817	3
998	1818	1
999	1819	0
